Host	Time	Message
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:22 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 210 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 230 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 230 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 230 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 220 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 230 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 230 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 230 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 230 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 230 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 230 ms
pear	Mon Feb 21 12:29:23 2011	 Turn complete in 230 ms
